url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242946/HG02879.final.cram	c64e4f7df2ca95ba66fd6e34a7ef8307	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02879	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242359/HG02464.final.cram	c2448e6b8fd8083fc961eeb87ea0975e	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02464	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242365/HG02573.final.cram	55b4fecfd2e450b1ee44f0965f6893b8	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02573	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242372/HG02589.final.cram	cd0a054b35c3c6e9d942ca05f4b398ff	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02589	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242377/HG02620.final.cram	6edd8ddc737653be71cb572bb1a19974	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02620	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242379/HG02623.final.cram	1da2c4f57a6a6f85a07401c2a805e8de	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02623	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242384/HG02643.final.cram	32e0a11340764ea95eab0c2ce90dd22f	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02643	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242392/HG02679.final.cram	7248c99f0402e11b0183a8eb63ff6998	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02679	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242417/HG02610.final.cram	6e024326e2df09291c6d6df8edf6c9f0	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02610	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242424/HG02769.final.cram	f606baec55528b47dfc39d05ee8eb25d	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	HG02769	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
