RNAseq	DNAseq
SRR17500078	HG02635
SRR17500079	HG02629
SRR17500080	HG02624
SRR17500081	HG02614
SRR17500082	HG02611
SRR17500083	HG02589
SRR17500084	HG02586
SRR17500085	HG03034
SRR17500086	HG03028
SRR17500087	HG02891
SRR17500088	HG02888
SRR17500089	HG02562
SRR17500090	HG02885
SRR17500091	HG02882
SRR17500092	HG02861
SRR17500093	HG02855
SRR17500094	HG02840
SRR17500095	HG02811
SRR17500096	HG02805
SRR17500097	HG02703
SRR17500098	HG02679
SRR17500099	HG02646
SRR17500100	HG02465
SRR17500101	HG02462
SRR15031248	HG02666
SRR15031249	HG02628
SRR15031250	HG02623
SRR15031251	HG02620
SRR15031252	HG02594
SRR15031253	HG02588
SRR15031254	HG02585
SRR15031255	HG03258
SRR15031256	HG03045
SRR15031257	HG03039
SRR15031258	HG02982
SRR15031259	HG02582
SRR15031260	HG02881
SRR15031261	HG02860
SRR15031262	HG02851
SRR15031263	HG02804
SRR15031264	HG02771
SRR15031265	HG02768
SRR15031266	HG02759
SRR15031267	HG02702
SRR15031268	HG02678
SRR15031269	HG02675
SRR15031270	HG02570
SRR15031271	HG02464
