#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	cdsStartStat	cdsEndStat	exonFrames	txId	type	geneName	geneType	sourceGene	sourceTranscript	alignmentId	alternativeSourceTranscripts	Paralogy	UnfilteredParalogy	collapsedGeneIds	collapsedGeneNames	frameshift	exonAnnotationSupport	intronAnnotationSupport	transcriptClass	transcriptModes	validStart	validStop	properOrf	extra_paralog
chr13	5774302	5787683	RNA45S1-1	0	+	5787683	5787683	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010000	rRNA	LOFF_G0010000	rRNA	LOFF_G0010000	rRNA_T1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5777957	5779826	RNA18S1-1	0	+	5779826	5779826	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010001	rRNA	LOFF_G0010001	rRNA	LOFF_G0010001	rRNA_T2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5780908	5781065	RNA5-8S1-1	0	+	5781065	5781065	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010002	rRNA	LOFF_G0010002	rRNA	LOFF_G0010002	rRNA_T3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5782233	5787319	RNA28S1-1	0	+	5787319	5787319	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010003	rRNA	LOFF_G0010003	rRNA	LOFF_G0010003	rRNA_T4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5821272	5834653	RNA45S1-1	0	+	5834653	5834653	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010004	rRNA	LOFF_G0010004	rRNA	LOFF_G0010004	rRNA_T5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5824927	5826796	RNA18S1-1	0	+	5826796	5826796	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010005	rRNA	LOFF_G0010005	rRNA	LOFF_G0010005	rRNA_T6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5827878	5828035	RNA5-8S1-1	0	+	5828035	5828035	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010006	rRNA	LOFF_G0010006	rRNA	LOFF_G0010006	rRNA_T7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5829203	5834289	RNA28S1-1	0	+	5834289	5834289	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010007	rRNA	LOFF_G0010007	rRNA	LOFF_G0010007	rRNA_T8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5868242	5881623	RNA45S1-1	0	+	5881623	5881623	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010008	rRNA	LOFF_G0010008	rRNA	LOFF_G0010008	rRNA_T9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5871897	5873766	RNA18S1-1	0	+	5873766	5873766	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010009	rRNA	LOFF_G0010009	rRNA	LOFF_G0010009	rRNA_T10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5874848	5875005	RNA5-8S1-1	0	+	5875005	5875005	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010010	rRNA	LOFF_G0010010	rRNA	LOFF_G0010010	rRNA_T11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5876173	5881259	RNA28S1-1	0	+	5881259	5881259	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010011	rRNA	LOFF_G0010011	rRNA	LOFF_G0010011	rRNA_T12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5915212	5928593	RNA45S1-1	0	+	5928593	5928593	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010012	rRNA	LOFF_G0010012	rRNA	LOFF_G0010012	rRNA_T13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5918867	5920736	RNA18S1-1	0	+	5920736	5920736	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010013	rRNA	LOFF_G0010013	rRNA	LOFF_G0010013	rRNA_T14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5921818	5921975	RNA5-8S1-1	0	+	5921975	5921975	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010014	rRNA	LOFF_G0010014	rRNA	LOFF_G0010014	rRNA_T15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5923143	5928229	RNA28S1-1	0	+	5928229	5928229	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010015	rRNA	LOFF_G0010015	rRNA	LOFF_G0010015	rRNA_T16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5962182	5975563	RNA45S1-1	0	+	5975563	5975563	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010016	rRNA	LOFF_G0010016	rRNA	LOFF_G0010016	rRNA_T17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5965837	5967706	RNA18S1-1	0	+	5967706	5967706	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010017	rRNA	LOFF_G0010017	rRNA	LOFF_G0010017	rRNA_T18	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5968788	5968945	RNA5-8S1-1	0	+	5968945	5968945	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010018	rRNA	LOFF_G0010018	rRNA	LOFF_G0010018	rRNA_T19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	5970113	5975199	RNA28S1-1	0	+	5975199	5975199	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010019	rRNA	LOFF_G0010019	rRNA	LOFF_G0010019	rRNA_T20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6009152	6022533	RNA45S1-1	0	+	6022533	6022533	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010020	rRNA	LOFF_G0010020	rRNA	LOFF_G0010020	rRNA_T21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6012807	6014676	RNA18S1-1	0	+	6014676	6014676	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010021	rRNA	LOFF_G0010021	rRNA	LOFF_G0010021	rRNA_T22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6015758	6015915	RNA5-8S1-1	0	+	6015915	6015915	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010022	rRNA	LOFF_G0010022	rRNA	LOFF_G0010022	rRNA_T23	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
